Ar 3 7135.79A
C 3 1906.68A
C 3 1908.73A
C 4 1548.19A
C 4 1550.77A
Fe 2 1.64355m
Fe 3 4658.05A
Fe 3 4985.87A
Fe 4 2835.74A
Fe 4 3094.96A
H 1 1.09381m
H 1 1.28181m
H 1 1.87510m
H 1 1215.67A
H 1 3889.05A
H 1 3970.07A
H 1 4101.73A
H 1 4340.46A
H 1 4861.32A
H 1 6562.80A
He 1 1.08303m
He 1 3888.64A
Mg 2 2795.53A
Mg 2 2802.71A
N 2 6548.05A
N 2 6583.45A
Ne 3 3868.76A
Ne 3 3967.47A
O 2 3726.03A
O 2 3728.81A
O 3 1666.15A
O 3 4958.91A
O 3 5006.84A
S 2 6716.44A
S 2 6730.82A
S 3 9068.62A
S 3 9530.62A
Si 3 1882.71A
Si 3 1892.03A
