Ar 3 7137.76A
C 3 1906.68A
C 3 1908.73A
C 4 1548.19A
C 4 1550.78A
Fe 2 1.25702m
Fe 2 1.64400m
Fe 4 2836.57A
Fe 4 3095.86A
H 1 1.09410m
H 1 1.28215m
H 1 1.87561m
H 1 1215.67A
H 1 3890.15A
H 1 3971.19A
H 1 4102.89A
H 1 4341.68A
H 1 4862.69A
H 1 6564.62A
He 1 1.08332m
He 1 3889.74A
He 1 5877.26A
Mg 2 2796.35A
Mg 2 2803.53A
N 2 6549.86A
N 2 6585.27A
Ne 3 3869.86A
Ne 3 3968.59A
O 2 3727.09A
O 2 3729.88A
O 3 1666.15A
O 3 4960.29A
O 3 5008.24A
S 2 6718.29A
S 2 6732.67A
S 3 9071.11A
S 3 9533.23A
Si 3 1882.71A
Si 3 1892.03A
